precinct,total_complaints_17,total_complaints_17_per_capita,total_complaints_18,total_complaints_18_per_capita,total_complaints_19,total_complaints_19_per_capita,avg_population,avg_complaints_17_19,avg_median_income,avg_unemployment_rate,avg_white_frac,avg_black_frac,avg_native_frac,avg_asian_frac,avg_single_frac,avg_liveswspouse_frac,avg_liveswunmarried_frac,avg_bachelors_frac,avg_blacks_1990
67.0,4715,3.036997913070363,4815,3.101409321619045,4662,3.0028598665395614,155252,3.04708903374299,54457.0,0.0583707164282111,0.0442137083525004,0.8897811658014063,0.0019320496812775,0.0182690412039166,0.1402986096842682,0.2992945688651462,0.0404424354496267,0.1658670322138451,74363.0
68.0,1372,1.1020877011189563,1243,0.9984657525443607,1253,1.0064984617361898,124491,1.0356839717998356,75409.5,0.0498564673136046,0.6353869827462746,0.0223086620760712,0.0024007878498483,0.2536190761756854,0.1450370366058374,0.4797031140638857,0.0390126007013094,0.2571779331122836,535.0
69.0,2774,3.2836174242424243,2781,3.291903409090909,2813,3.329782196969697,84480,3.301767676767677,70793.0,0.0512006543712388,0.057266669311015,0.8598032604815359,0.0011701241521558,0.0269029391932093,0.1024734982332155,0.3027483313702395,0.0343410548357544,0.1853484527710913,22228.0
70.0,3105,1.9326046905342829,2920,1.817457551162675,2715,1.689862072399542,160664,1.813308104698833,58257.0,0.0565599319920657,0.1599268767954358,0.679814781333494,0.0029731412844773,0.0308563852226842,0.1531765504280643,0.274156922113176,0.0597984965546043,0.1921277859035813,92693.0
71.0,2380,2.4179865689989737,2222,2.2574647715612266,2253,2.28895955460281,98429,2.3214702983876703,59820.0,0.0655222879443868,0.2848801421059111,0.6091032202465748,0.0023215322112594,0.0283508327617439,0.1779167472546365,0.2609331012399802,0.0911611114692798,0.2424119981936158,58361.0
72.0,1564,1.2390081597084686,1528,1.2104887903034145,1479,1.1716707597243128,126230,1.2070559032453987,55695.5,0.0596506970474008,0.3797848297923344,0.0500071411657606,0.009666941470583,0.2999837075023986,0.0893624250458847,0.3835186054792242,0.0735943979376352,0.1618476373055621,2972.0
73.0,6722,7.773974186982467,6506,7.524170791506685,6160,7.124022759864921,86468,7.474055912784691,26521.0,0.1515324006111627,0.0844388598637656,0.7983069902784208,0.0009126380530388,0.011176509490113,0.2793874095163661,0.1863078955693258,0.0340348722529261,0.1059345324968251,77898.0
75.0,8612,4.697591202653168,8745,4.770138767673241,8311,4.533404608134055,183328,4.667044859486822,38340.0,0.0639524875581803,0.2481039594630709,0.578637361603326,0.0066511984938429,0.0440666540187654,0.1777613607237665,0.2813759433066142,0.0377312438707865,0.1142224596142767,34243.5
76.0,950,2.1742115622282236,1051,2.4053645809493296,1095,2.506064905936742,43694,2.361880349704765,99643.0,0.0721373148365859,0.6630670116702752,0.153033743465174,0.0056767175370966,0.0586946189998415,0.1607984966138354,0.4705882352941176,0.091266886501436,0.3144282775957949,6978.0
77.0,3036,3.3456757471568372,3165,3.487833906373975,2914,3.2112315965793883,90744,3.348247083370067,68338.5,0.0668215617429164,0.3709845692966155,0.4965790784355138,0.0014583519981039,0.041449250991129,0.1798026544183474,0.2953083648684626,0.0827902605632002,0.265704045269081,43201.0
78.0,635,0.952538101524061,637,0.9555382215288611,730,1.09504380175207,66664,1.001040041601664,125733.0,0.0445195269703322,0.6766624628088302,0.1247184492416247,0.0011889123420101,0.0826177627796613,0.1589685651658965,0.4417682335850699,0.1134985579489616,0.3554300802085376,10787.0
79.0,3246,3.596157894153751,3147,3.4864784020030357,2905,3.2183729767457323,90263,3.433669757634173,67795.0,0.0573707667414199,0.3126016682241373,0.5399404700100371,0.0027515315128231,0.053005918388537,0.1800336162353966,0.2483866282085866,0.0944989728372517,0.3027704936723293,56504.0
81.0,2862,4.5629922515225925,2831,4.513567807149007,2912,4.642709097286438,62722,4.573089718652679,50902.5,0.0632759329639484,0.1932218284147652,0.6196653794400548,0.0035425838571405,0.0270887512286157,0.1550123160067931,0.2074579640217803,0.0716967515626853,0.1992976173102206,50462.5
83.0,2767,2.456629436937337,2970,2.6368592076992736,2993,2.6572793295097394,112634,2.58358932471545,53303.0,0.0547660063163939,0.371859399296178,0.13824781078648,0.0119281446926917,0.0683975775431704,0.1067119659720178,0.239934726197801,0.0807897060003745,0.2390763442165311,6056.0
