,precinct,avg_median_income,avg_unemployment_rate,avg_white_frac,avg_black_frac,avg_native_frac,avg_asian_frac,avg_single_frac,avg_liveswspouse_frac,avg_liveswunmarried_frac,avg_bachelors_frac,avg_blacks_1990,avg_population
59,19.0,134397.33333333334,0.017916321161521927,0.8472961377147182,0.018770007226265106,0.002878502554437907,0.08453911658132642,0.28533398873064647,0.5091555413188601,0.05134889176914304,0.3799571807000089,1725.6666666666667,33825.333333333336
60,20.0,132535.0,0.034854878768399655,0.6829296798355311,0.04062431062410301,0.0003570990763392548,0.23043308577178725,0.34956063903079243,0.44950858628189566,0.04979920151842979,0.38140484538245806,3808.0,24881.0
61,111.0,85216.5,0.0493070506882105,0.4252460885946902,0.0730877625438503,0.004089648785491804,0.4084872938800515,0.1141899881440181,0.5004165987804191,0.029166756484958645,0.25153824555133203,1469.0,26358.833333333332
65,115.0,59516.333333333336,0.051435218895582245,0.40819567265586504,0.114145909067496,0.006384432764485903,0.1895682501540774,0.11503246045769323,0.3783405122027756,0.04347552460655085,0.14398872600352897,4061.5,31478.75
73,110.0,54397.5,0.041061801929057576,0.27168519561378035,0.05627359771803676,0.007449730172079295,0.3043532204059469,0.06844212216620332,0.3373677805227763,0.05094628965577905,0.14562251774971335,12887.5,103262.5
74,108.0,90726.25,0.047265791009439555,0.5430445325266345,0.05230885269816356,0.0038577013905578225,0.29098896420062964,0.17740879309308866,0.4315464854245208,0.08566321866058874,0.302553330971556,3981.6666666666665,36571.25
78,14.0,103541.66666666667,0.041259259062027605,0.6267104068153365,0.06385556528266183,0.00272514255893139,0.22841451338873853,0.33219519957369886,0.2746827214178957,0.08943433349192804,0.3906081952937969,2008.0,6823.333333333333
79,18.0,103792.0,0.05279908341555011,0.6683370697613082,0.060178469383269595,0.007956393687634622,0.19110730141984264,0.34528306426388855,0.3025768111060318,0.07535548444529991,0.37021112255406796,1463.5,3499.846153846154
80,105.0,92471.36363636363,0.05048981445612517,0.3160878470212565,0.36705962468644776,0.00445179865189791,0.19017516454853703,0.1093234549674976,0.4225628116324068,0.022347793025802556,0.20523432351962387,9780.1,24295.454545454544
81,17.0,136130.33333333334,0.027486444800537177,0.7646253222871953,0.024453523930442932,0.0016186604366740878,0.17884105270243378,0.3622636925473977,0.3545455195698479,0.0718863346686912,0.4438984642968418,1538.0,24965.5
83,10.0,138272.0,0.036066981537140406,0.8055016116438768,0.04436525255760876,0.0014614907205349457,0.08782958617790146,0.3951875926559471,0.3038886988254077,0.11200821074238795,0.4127100940081664,3171.0,49949.0
87,13.0,132988.0,0.03560255562899317,0.6960118086113741,0.0937726285300507,0.0,0.1644014927867209,0.2887286419665376,0.3787787289971937,0.09154204113530603,0.3880541505504314,1363.0,35906.0
88,107.0,70297.25,0.07407136108045179,0.3205141434296681,0.17043429581655828,0.0038150125367608138,0.35632677782977057,0.08902424306211623,0.4283985113235726,0.03402350099514266,0.2399535651019291,8427.0,37492.5
89,6.0,133501.0,0.050877112205902665,0.8892367519114157,0.013940152913261271,0.0,0.04824677036646454,0.3819764464925755,0.2859703020993344,0.12449711067222588,0.4483885854934236,1176.0,30344.0
90,9.0,90939.0,0.044064469939833976,0.684918018172173,0.07097284123949531,0.0013507347247474996,0.14344473081544917,0.3225727089996639,0.27663245309569645,0.0786816956982401,0.40434899223241794,4804.5,56135.0
91,94.0,93488.0,0.03559254855330955,0.8251518767628553,0.03579952267303103,0.0018713386851811672,0.043908656975482754,0.18553913283962756,0.34376056294748486,0.12899855575699842,0.38691219993423215,842.0,36872.0
